TIME,MODE,SPEED,VALUE,TEMPERATURE,HUMIDITY
10:12:40,LCD,1,521,30,95
10:12:41,LCD,1,988,30,95
10:12:43,LCD,1,8440,30,95
10:12:44,LCD,1,998,30,95
10:12:45,LCD,1,512,30,95
10:12:46,LCD,1,337,30,95
10:12:47,LCD,1,337,30,95
10:12:48,LCD,1,308,30,95
10:12:49,LCD,1,513,30,95
10:12:50,LCD,1,708,30,95
10:12:51,LCD,1,0440,30,95
10:12:52,LCD,1,817,30,95
10:12:53,LCD,1,3511,30,95
10:12:54,LCD,1,9448,30,95
10:12:55,LCD,1,091,30,95
10:12:56,LCD,1,399,30,95
10:12:58,LCD,1,196,30,95
10:12:59,LCD,1,178,30,95
10:13:00,LCD,1,0911,30,95
10:13:01,LCD,1,301,30,95
10:13:02,LCD,1,601,30,95
10:13:03,LCD,1,238,30,95
10:13:04,LCD,1,5442,30,95
10:13:05,LCD,1,865,30,95
10:13:06,LCD,1,1447,30,95
10:13:07,LCD,1,052,30,95
10:13:09,LCD,1,4459,30,95
10:13:10,LCD,1,156,30,95
10:13:11,LCD,1,8644,30,95
10:13:13,LCD,1,778,30,95
10:13:14,LCD,1,835,30,95
10:13:15,LCD,1,561,30,95
10:13:16,LCD,1,8440,30,95
10:13:17,LCD,1,155,30,95
10:13:18,LCD,1,0344,30,95
10:13:19,LCD,1,910,30,95
10:13:20,LCD,1,2449,30,95
10:13:21,LCD,1,690,30,95
10:13:22,LCD,1,090,30,95
10:13:23,LCD,1,870,30,95
10:13:24,LCD,1,6441,30,95
10:13:25,LCD,1,025,30,95
10:13:26,LCD,1,937,30,95
10:13:27,LCD,1,207,30,95
10:13:29,LCD,1,6111,30,95
10:13:30,LCD,1,4432,30,95
10:13:31,LCD,1,379,30,95
10:13:32,LCD,1,2442,30,95
10:13:33,LCD,1,0044,30,95
10:13:34,LCD,1,4410,30,95
10:13:35,LCD,1,573,30,95
10:13:36,LCD,1,63,30,95
10:13:37,LCD,1,1448,30,95
10:13:38,LCD,1,798,30,95
10:13:39,LCD,1,6844,30,95
10:13:40,LCD,1,2442,30,95
10:13:41,LCD,1,446,30,95
10:13:43,LCD,1,4244,30,95
10:13:44,LCD,1,212,30,95
10:13:45,LCD,1,657,30,95
10:13:46,LCD,1,888,30,95
10:13:47,LCD,1,356,30,95
10:13:48,LCD,1,053,30,95
10:13:49,LCD,1,809,30,95
10:13:50,LCD,1,465,30,95
10:13:51,LCD,1,075,30,95
10:13:52,LCD,1,9744,30,95
10:13:53,LCD,1,626,30,95
10:13:54,LCD,1,735,30,95
10:13:55,LCD,1,379,30,95
10:13:56,LCD,1,601,30,95
10:13:57,LCD,1,226,30,95
10:13:59,LCD,1,857,30,95
10:14:00,LCD,1,852,30,95
